V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
48,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
48,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
48,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
48,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
60,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
74,74,74,74,74,74,74,74,74,48,48,48,48,25,25,25,1,1,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
82,82,82,82,82,82,82,82,82,82,82,82,48,25,25,25,1,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,25,1,1,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,25,1,1,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
104,104,104,101,101,101,101,101,101,101,101,101,101,101,101,25,1,1,1
102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
123,123,123,123,123,123,123,123,123,123,123,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
137,137,137,137,122,122,122,122,122,122,122,122,122,122,101,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
154,154,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
154,154,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
154,154,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
154,154,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
151,151,151,151,151,151,151,151,151,151,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1
